Rankings,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
0,Randolph Morris,23,ATL,C,23,0,3.9,0.3,0.7,0.412,0,0,,0.3,0.7,0.412,0.412,0.2,0.2,1,0.2,0.7,0.9,0.1,0.1,0,0.3,1.1,0.8,,morrira01
0,Kenny Thomas,31,SAC,PF,8,0,7.8,0.4,1,0.375,0,0,,0.4,1,0.375,0.375,0,0,,0.5,1.4,1.9,0.1,0.8,0.1,0.1,1.1,0.8,,thomake01
0,Mario West,24,ATL,SG,53,3,5.1,0.3,0.6,0.412,0,0,1,0.2,0.6,0.394,0.426,0.3,0.6,0.467,0.5,0.6,1.1,0.4,0.3,0.1,0.2,0.7,0.8,,westma02
0,Joey Dorsey,25,HOU,PF,3,0,2,0.3,0.7,0.5,0,0,,0.3,0.7,0.5,0.5,0,0,,0,0.3,0.3,0.3,0,0,0,0,0.7,,dorsejo01
0,J.R. Giddens,23,BOS,SF,6,0,1.3,0.3,0.5,0.667,0,0,,0.3,0.5,0.667,0.667,0,0,,0.3,0.2,0.5,0,0.2,0,0.2,0.2,0.7,,giddejr01
0,Sun Yue,23,LAL,SG,10,0,2.8,0.3,1.1,0.273,0,0.6,0,0.3,0.5,0.6,0.273,0,0,,0,0,0,0.2,0.1,0.1,0.3,1,0.6,,yuesu01
0,Michael Ruffin,32,POR,PF,11,0,3.2,0.2,0.6,0.286,0,0,,0.2,0.6,0.286,0.286,0.2,0.2,1,0.5,0.5,1,0,0.3,0.1,0.2,0.6,0.5,,ruffimi01
0,Nathan Jawai,22,TOR,PF,6,0,3.2,0.2,0.7,0.25,0,0,,0.2,0.7,0.25,0.25,0,0,,0.2,0.2,0.3,0,0,0,0.3,0.5,0.3,,jawaina01
0,Mark Madsen,33,MIN,C,19,1,6.1,0.2,0.7,0.214,0,0,,0.2,0.7,0.214,0.214,0,0.2,0,0.5,0.4,0.9,0.2,0.1,0.1,0.2,0.9,0.3,,madsema01
0,Martell Webster,22,POR,SF,1,0,5,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,webstma02
