Rankings,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
5,Michael Jordan,27,CHI,SG,82,82,37,12.1,22.4,0.539,0.4,1.1,0.312,11.7,21.3,0.551,0.547,7,8.2,0.851,1.4,4.6,6,5.5,2.7,1,2.5,2.8,31.5,MVP-1DPOY-7ASNBA1,jordami01
1,Karl Malone,27,UTA,PF,82,82,40.3,10.3,19.6,0.527,0,0.2,0.286,10.3,19.4,0.529,0.528,8.3,10.8,0.77,2.9,8.9,11.8,3.3,1.1,1,3,3.3,29,MVP-5ASNBA1,malonka01
0,Bernard King,34,WSB,SF,64,64,37.5,11.1,23.6,0.472,0.1,0.6,0.216,11,23,0.478,0.475,6,7.6,0.79,1.8,3.2,5,4.6,0.9,0.3,4,2.9,28.4,MVP-16ASNBA3,kingbe01
2,Charles Barkley,27,PHI,SF,67,67,37.3,9.9,17.4,0.57,0.7,2.3,0.284,9.3,15.1,0.614,0.589,7.1,9.8,0.722,3.9,6.3,10.1,4.2,1.6,0.5,3.1,2.6,27.6,MVP-4ASNBA1,barklch01
0,Patrick Ewing,28,NYK,C,81,81,38.3,10.4,20.3,0.514,0,0.1,0,10.4,20.2,0.516,0.514,5.7,7.7,0.745,2.4,8.8,11.2,3,1,3.2,3.6,3.5,26.6,MVP-11DPOY-7ASNBA2,ewingpa01
0,Michael Adams,28,DEN,PG,66,66,35.5,8.5,21.5,0.394,2.5,8.5,0.296,6,13,0.459,0.453,7,8,0.879,0.9,3,3.9,10.5,2.2,0.1,3.6,2.5,26.5,,adamsmi01
0,Dominique Wilkins,31,ATL,SF,81,81,38,9.5,20.2,0.47,1,3.1,0.341,8.5,17.2,0.492,0.495,5.9,7.1,0.829,3.2,5.8,9,3.3,1.5,0.8,2.5,1.9,25.9,MVP-8ASNBA2,wilkido01
0,Chris Mullin,27,GSW,SF,82,82,40.4,9.5,17.7,0.536,0.5,1.6,0.301,9,16,0.56,0.55,6.3,7.1,0.884,1.7,3.7,5.4,4,2.1,0.8,3,2.1,25.7,ASNBA2,mullich01
3,David Robinson,25,SAS,C,82,81,37.7,9.2,16.7,0.552,0,0.1,0.143,9.2,16.6,0.554,0.552,7.2,9.5,0.762,4.1,8.9,13,2.5,1.5,3.9,3.3,3.2,25.6,MVP-3DPOY-2ASNBA1,robinda01
0,Orlando Woolridge,31,DEN,SF,53,50,34.4,9.2,18.5,0.498,0,0.1,0,9.2,18.5,0.501,0.498,6.6,8.3,0.797,2.7,4.2,6.8,2.2,1.3,0.4,2.9,2.7,25.1,,woolror01
0,Mitch Richmond,25,GSW,SG,77,77,39.3,9.1,18.5,0.494,0.5,1.5,0.348,8.6,17,0.506,0.508,5.1,6,0.847,1.9,4,5.9,3.1,1.6,0.4,3,2.7,23.9,,richmmi01
0,Tim Hardaway,24,GSW,PG,82,82,39.2,9,18.9,0.476,1.2,3.1,0.385,7.8,15.8,0.494,0.508,3.7,4.6,0.803,1.1,3,4,9.7,2.6,0.1,3.3,2.8,22.9,MVP-19AS,hardati01
0,Reggie Miller,25,IND,SG,82,82,36.2,7.3,14.2,0.512,1.4,3.9,0.348,5.9,10.3,0.575,0.56,6.7,7.3,0.918,1,2.4,3.4,4,1.3,0.2,2,2,22.6,,millere01
0,Kevin Johnson,24,PHO,PG,77,76,36,7.7,14.9,0.516,0.1,0.6,0.205,7.6,14.3,0.529,0.52,6.7,8,0.843,0.7,2.8,3.5,10.1,2.1,0.1,3.5,2.3,22.2,MVP-7ASNBA2,johnske02
0,Hersey Hawkins,24,PHI,SG,80,80,38.9,7.4,15.6,0.472,1.4,3.4,0.4,6,12.3,0.491,0.515,6,6.9,0.871,0.6,3.3,3.9,3.7,2.2,0.5,2.7,2.3,22.1,AS,hawkihe01
0,Tony Campbell,28,MIN,SG,77,71,37.6,8.5,19.5,0.434,0.2,0.8,0.262,8.3,18.7,0.441,0.439,4.6,5.8,0.803,2.1,2.4,4.5,2.8,1.6,0.6,2.5,2.6,21.8,,campbto01
0,Brad Daugherty,25,CLE,C,76,76,38.8,8,15.2,0.524,0,0,0,8,15.2,0.525,0.524,5.7,7.6,0.751,2.3,8.6,10.9,3.3,1,0.6,2.8,2.5,21.6,AS,daughbr01
0,Clyde Drexler,28,POR,SG,82,82,34.8,7.9,16.3,0.482,0.7,2.3,0.319,7.1,14,0.509,0.505,5.1,6.4,0.794,2.6,4.1,6.7,6,1.8,0.7,2.8,2.8,21.5,MVP-6ASNBA2,drexlcl01
0,James Worthy,29,LAL,SF,78,74,38.6,9.2,18.7,0.492,0.3,1.2,0.289,8.8,17.5,0.505,0.501,2.7,3.4,0.797,1.4,3.2,4.6,3.5,1.3,0.4,1.6,1.5,21.4,ASNBA3,worthja01
0,Hakeem Olajuwon,28,HOU,C,56,50,36.8,8.7,17.1,0.508,0,0.1,0,8.7,17.1,0.51,0.508,3.8,4.9,0.769,3.9,9.8,13.8,2.3,2.2,3.9,3.1,3.9,21.2,MVP-18DPOY-5NBA3,olajuha01
0,Ricky Pierce,31,2TM,SG,78,2,27.8,7.2,14.8,0.485,0.6,1.5,0.397,6.6,13.3,0.495,0.505,5.5,6,0.913,0.9,1.6,2.4,2.2,0.8,0.2,1.9,2.2,20.5,6MOY-4AS,piercri01
0,Joe Dumars,27,DET,SG,80,80,38.1,7.8,16.2,0.481,0.2,0.6,0.311,7.6,15.6,0.488,0.487,4.6,5.2,0.89,0.8,1.6,2.3,5.5,1.1,0.1,2.4,1.7,20.4,MVP-15DPOY-4ASNBA3,dumarjo01
0,Roy Tarpley,26,DAL,C,5,5,34.2,8.6,15.8,0.544,0,0.2,0,8.6,15.6,0.551,0.544,3.2,3.6,0.889,3.2,7.8,11,2.4,1.2,1.8,2.6,4,20.4,,tarplro01
0,Antoine Carr,29,SAC,PF,77,48,32.8,8.2,15.9,0.511,0,0,0,8.2,15.9,0.513,0.511,3.8,5.1,0.758,2.1,3.3,5.5,2.5,0.6,1.3,2.2,4.1,20.1,,carran01
0,Charles Smith,25,LAC,SF,74,74,36.5,7.4,15.8,0.469,0,0.1,0,7.4,15.7,0.472,0.469,5.2,6.5,0.793,2.9,5.3,8.2,1.8,1.1,2,2.2,3.6,20,,smithch01
0,Wayman Tisdale,26,SAC,PF,33,31,33.8,7.9,16.4,0.483,0,0,0,7.9,16.4,0.484,0.483,4.1,5.2,0.8,2.3,5.4,7.7,2,0.7,0.8,2.5,3,20,,tisdawa01
0,Rolando Blackman,31,DAL,SG,80,80,37.1,7.9,16.5,0.482,0.5,1.4,0.351,7.4,15,0.494,0.497,3.5,4.1,0.865,0.8,2.4,3.2,3.8,0.9,0.2,2,1.9,19.9,,blackro01
0,Tom Chambers,31,PHO,PF,76,75,32.6,7.3,16.7,0.437,0.3,1,0.274,7.1,15.8,0.447,0.445,5,6,0.826,1.4,5.1,6.4,2.6,0.9,0.7,2.3,3.1,19.9,AS,chambto01
0,Derek Harper,29,DAL,PG,77,77,37.4,7.4,15.9,0.467,1.2,3.2,0.362,6.3,12.7,0.493,0.503,3.7,5.1,0.731,0.8,2.3,3,7.1,1.9,0.2,2.3,2.9,19.7,DPOY-7,harpede01
