Rankings,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
4,Kevin Durant,23,OKC,SF,66,66,38.6,9.7,19.7,0.496,2,5.2,0.387,7.7,14.4,0.535,0.547,6.5,7.6,0.86,0.6,7.4,8,3.5,1.3,1.2,3.8,2,28,MVP-2ASNBA1,duranke01
2,Kobe Bryant,33,LAL,SG,58,58,38.5,9.9,23,0.43,1.5,4.9,0.303,8.4,18.1,0.464,0.462,6.6,7.8,0.845,1.1,4.3,5.4,4.6,1.2,0.3,3.5,1.8,27.9,MVP-4ASNBA1,bryanko01
5,LeBron James,27,MIA,SF,62,62,37.5,10,18.9,0.531,0.9,2.4,0.362,9.1,16.5,0.556,0.554,6.2,8.1,0.771,1.5,6.4,7.9,6.2,1.9,0.8,3.4,1.5,27.1,MVP-1DPOY-4ASNBA1,jamesle01
0,Kevin Love,23,MIN,PF,55,55,39,8.6,19.3,0.448,1.9,5.1,0.372,6.7,14.1,0.475,0.497,6.9,8.4,0.824,4.1,9.2,13.3,2,0.9,0.5,2.3,2.8,26,MVP-6ASNBA2,loveke01
0,Russell Westbrook,23,OKC,PG,66,66,35.3,8.8,19.2,0.457,0.9,3,0.316,7.8,16.2,0.482,0.481,5.2,6.3,0.823,1.5,3.1,4.6,5.5,1.7,0.3,3.6,2.2,23.6,MVP-12DPOY-18ASNBA2,westbru01
0,Carmelo Anthony,27,NYK,SF,55,55,34.1,8,18.6,0.43,1.2,3.7,0.335,6.8,14.9,0.454,0.463,5.4,6.7,0.804,1.6,4.7,6.3,3.6,1.1,0.4,2.6,2.8,22.6,ASNBA3,anthoca01
0,Dwyane Wade,30,MIA,SG,49,49,33.2,8.5,17.1,0.497,0.3,1.1,0.268,8.2,15.9,0.513,0.506,4.8,6.1,0.791,1.5,3.3,4.8,4.6,1.7,1.3,2.6,2.2,22.1,MVP-10DPOY-18ASNBA3,wadedw01
0,Derrick Rose,23,CHI,PG,39,39,35.3,7.7,17.8,0.435,1.4,4.4,0.312,6.4,13.4,0.475,0.473,5,6.1,0.812,0.7,2.7,3.4,7.9,0.9,0.7,3.1,1.3,21.8,MVP-11AS,rosede01
0,LaMarcus Aldridge,26,POR,PF,55,55,36.3,8.8,17.1,0.512,0,0.2,0.182,8.7,16.9,0.516,0.513,4.1,5,0.814,2.7,5.3,8,2.4,0.9,0.8,2,2.8,21.7,AS,aldrila01
0,Dirk Nowitzki,33,DAL,PF,62,62,33.5,7.6,16.7,0.457,1.3,3.4,0.368,6.4,13.3,0.481,0.495,5.1,5.7,0.896,0.7,6,6.7,2.2,0.7,0.5,1.9,2.1,21.6,MVP-12ASNBA3,nowitdi01
0,Deron Williams,27,NJN,PG,55,55,36.3,7.1,17.5,0.407,2.1,6.2,0.336,5,11.3,0.446,0.467,4.7,5.5,0.843,0.4,2.9,3.3,8.7,1.2,0.4,4,2.2,21,AS,willide01
0,Blake Griffin,22,LAC,PF,66,66,36.2,8.5,15.5,0.549,0,0.2,0.125,8.5,15.2,0.556,0.55,3.7,7.1,0.521,3.3,7.6,10.9,3.2,0.8,0.7,2.3,3.3,20.7,ASNBA2,griffbl01
0,Eric Gordon,23,NOH,SG,9,9,34.4,7,15.6,0.45,1.1,4.4,0.25,5.9,11.1,0.53,0.486,5.4,7.2,0.754,0.2,2.6,2.8,3.4,1.4,0.4,2.7,2.2,20.6,,gordoer01
0,Dwight Howard,26,ORL,C,54,54,38.3,7.7,13.4,0.573,0,0.1,0,7.7,13.3,0.579,0.573,5.2,10.6,0.491,3.7,10.8,14.5,1.9,1.5,2.1,3.2,2.9,20.6,MVP-7DPOY-3ASNBA1,howardw01
0,Monta Ellis,26,2TM,SG,58,58,36.6,7.8,17.9,0.433,1.1,3.5,0.308,6.7,14.5,0.462,0.463,3.8,4.7,0.796,0.3,3.1,3.4,6,1.5,0.3,3.1,2.3,20.4,,ellismo01
0,David Lee,28,GSW,PF,57,57,37.2,8.1,16.2,0.503,0,0.1,0,8.1,16.1,0.506,0.503,3.8,4.9,0.782,3,6.6,9.6,2.8,0.9,0.4,2.6,3.1,20.1,,leeda02
3,Chris Paul,26,LAC,PG,60,60,36.4,7.1,14.8,0.478,1.3,3.6,0.371,5.8,11.3,0.511,0.522,4.3,5,0.861,0.7,2.9,3.6,9.1,2.5,0.1,2.1,2.3,19.8,MVP-3DPOY-12ASNBA1,paulch01
0,Andrea Bargnani,26,TOR,C,31,31,33.3,6.7,15.6,0.432,1.1,3.7,0.296,5.6,11.9,0.474,0.467,4.9,5.6,0.873,0.8,4.8,5.5,2,0.6,0.5,2.2,1.7,19.5,,bargnan01
0,Paul Pierce,34,BOS,SF,61,61,34,6.5,14.6,0.443,1.6,4.5,0.366,4.8,10.1,0.476,0.499,4.8,5.6,0.852,0.6,4.6,5.2,4.5,1.1,0.4,2.8,2.4,19.4,AS,piercpa01
0,Al Jefferson,27,UTA,C,61,61,34,8.5,17.2,0.492,0,0.1,0.25,8.4,17.1,0.493,0.493,2.2,2.9,0.774,2.2,7.4,9.6,2.2,0.8,1.7,1,2.5,19.2,,jeffeal01
0,Brook Lopez,23,NJN,C,5,5,27.2,7.6,15.4,0.494,0,0,,7.6,15.4,0.494,0.494,4,6.4,0.625,1.6,2,3.6,1.2,0.2,0.8,1.2,1.6,19.2,,lopezbr01
