Rankings,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
5,James Harden,28,HOU,SG,72,72,35.4,9,20.1,0.449,3.7,10,0.367,5.4,10.1,0.531,0.541,8.7,10.1,0.858,0.6,4.8,5.4,8.8,1.8,0.7,4.4,2.3,30.4,MVP-1ASNBA1,hardeja01
3,Anthony Davis,24,NOP,PF,75,75,36.4,10.4,19.5,0.534,0.7,2.2,0.34,9.7,17.3,0.558,0.552,6.6,8,0.828,2.5,8.6,11.1,2.3,1.5,2.6,2.2,2.1,28.1,MVP-3DPOY-3ASNBA1,davisan02
4,LeBron James,33,CLE,PF,82,82,36.9,10.5,19.3,0.542,1.8,5,0.367,8.6,14.3,0.603,0.59,4.7,6.5,0.731,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7,27.5,MVP-2ASNBA1,jamesle01
0,Giannis Antetokounmpo,23,MIL,PF,75,75,36.7,9.9,18.7,0.529,0.6,1.9,0.307,9.3,16.8,0.554,0.545,6.5,8.5,0.76,2.1,8,10,4.8,1.5,1.4,3,3.1,26.9,MVP-6ASNBA2,antetgi01
2,Damian Lillard,27,POR,PG,73,73,36.6,8.5,19.4,0.439,3.1,8.6,0.361,5.4,10.8,0.501,0.519,6.8,7.4,0.916,0.8,3.6,4.5,6.6,1.1,0.4,2.8,1.6,26.9,MVP-4ASNBA1,lillada01
0,Stephen Curry,29,GSW,PG,51,51,32,8.4,16.9,0.495,4.2,9.8,0.423,4.2,7.1,0.595,0.618,5.5,5.9,0.921,0.7,4.4,5.1,6.1,1.6,0.2,3,2.2,26.4,MVP-10ASNBA3,curryst01
0,Kevin Durant,29,GSW,SF,68,68,34.2,9.3,18,0.516,2.5,6.1,0.419,6.7,11.9,0.565,0.586,5.3,5.9,0.889,0.5,6.4,6.8,5.4,0.7,1.8,3,2,26.4,MVP-7DPOY-9ASNBA1,duranke01
1,Russell Westbrook,29,OKC,PG,80,80,36.4,9.5,21.1,0.449,1.2,4.1,0.298,8.3,17,0.485,0.477,5.2,7.1,0.737,1.9,8.2,10.1,10.3,1.8,0.3,4.8,2.5,25.4,MVP-5ASNBA2,westbru01
0,DeMarcus Cousins,27,NOP,C,48,48,36.2,8.5,18,0.47,2.2,6.1,0.354,6.3,11.9,0.53,0.53,6.1,8.2,0.746,2.2,10.7,12.9,5.4,1.6,1.6,5,3.8,25.2,AS,couside01
0,Devin Booker,21,PHO,SG,54,54,34.5,8.4,19.5,0.432,2.7,7.1,0.383,5.7,12.4,0.46,0.501,5.4,6.1,0.878,0.5,4,4.5,4.7,0.9,0.3,3.6,3.1,24.9,,bookede01
0,Kyrie Irving,25,BOS,PG,60,60,32.2,8.9,18.1,0.491,2.8,6.8,0.408,6.1,11.3,0.541,0.568,3.9,4.4,0.889,0.6,3.2,3.8,5.1,1.1,0.3,2.3,2,24.4,AS,irvinky01
0,LaMarcus Aldridge,32,SAS,C,75,75,33.5,9.2,18,0.51,0.4,1.2,0.293,8.8,16.7,0.526,0.52,4.5,5.3,0.837,3.3,5.2,8.5,2,0.6,1.2,1.5,2.1,23.1,MVP-9ASNBA2,aldrila01
0,Victor Oladipo,25,IND,SG,75,75,34,8.5,17.9,0.477,2.1,5.8,0.371,6.4,12.1,0.528,0.537,3.9,4.9,0.799,0.6,4.6,5.2,4.3,2.4,0.8,2.9,2.3,23.1,MVP-13DPOY-15MIP-1ASNBA3,oladivi01
0,DeMar DeRozan,28,TOR,SG,80,80,33.9,8.1,17.7,0.456,1.1,3.6,0.31,7,14.1,0.494,0.488,5.8,7,0.825,0.7,3.2,3.9,5.2,1.1,0.3,2.2,1.9,23,MVP-8ASNBA2,derozde01
0,Joel Embiid,23,PHI,C,63,63,30.3,8.1,16.8,0.483,1,3.4,0.308,7,13.4,0.527,0.514,5.7,7.4,0.769,2.3,8.7,11,3.2,0.6,1.8,3.7,3.3,22.9,MVP-12DPOY-2ASNBA2,embiijo01
0,Kristaps Porziņģis,22,NYK,PF,48,48,32.4,8.1,18.5,0.439,1.9,4.8,0.395,6.3,13.8,0.454,0.489,4.5,5.7,0.793,1.3,5.3,6.6,1.2,0.8,2.4,1.9,2.9,22.7,AS,porzikr01
0,Bradley Beal,24,WAS,SG,82,82,36.3,8.3,18.1,0.46,2.4,6.5,0.375,5.9,11.6,0.507,0.527,3.6,4.5,0.791,0.7,3.7,4.4,4.5,1.2,0.4,2.6,2,22.6,AS,bealbr01
0,Lou Williams,31,LAC,SG,79,19,32.8,7.4,16.9,0.435,2.4,6.6,0.359,5,10.4,0.484,0.505,5.5,6.2,0.88,0.5,2,2.5,5.3,1.1,0.2,3,1.3,22.6,6MOY-1,willilo02
0,Jimmy Butler,28,MIN,SG,59,59,36.7,7.4,15.6,0.474,1.2,3.4,0.35,6.2,12.2,0.509,0.512,6.2,7.2,0.854,1.3,4,5.3,4.9,2,0.4,1.8,1.3,22.2,MVP-10DPOY-12ASNBA3,butleji01
0,Kemba Walker,27,CHO,PG,80,80,34.2,7.4,17,0.431,2.9,7.5,0.384,4.5,9.5,0.469,0.516,4.5,5.3,0.864,0.4,2.7,3.1,5.6,1.1,0.3,2.2,1.2,22.1,AS,walkeke02
0,Paul George,27,OKC,SF,79,79,36.6,7.3,17,0.43,3.1,7.7,0.401,4.2,9.3,0.454,0.521,4.3,5.2,0.822,0.9,4.7,5.7,3.3,2,0.5,2.7,2.9,21.9,DPOY-4ASNBA3,georgpa01
0,Blake Griffin,28,2TM,PF,58,58,34,7.5,17.2,0.438,1.9,5.6,0.345,5.6,11.6,0.482,0.493,4.5,5.7,0.785,1.3,6.1,7.4,5.8,0.7,0.3,2.8,2.4,21.4,,griffbl01
0,CJ McCollum,26,POR,SG,81,81,36.1,8.2,18.6,0.443,2.3,5.9,0.397,5.9,12.7,0.465,0.506,2.6,3.1,0.836,0.7,3.3,4,3.4,1,0.4,1.9,2.1,21.4,,mccolcj01
0,Karl-Anthony Towns,22,MIN,C,82,82,35.6,7.8,14.3,0.545,1.5,3.5,0.421,6.3,10.8,0.585,0.596,4.2,4.9,0.858,2.9,9.4,12.3,2.4,0.8,1.4,1.9,3.5,21.3,ASNBA3,townska01
0,Donovan Mitchell,21,UTA,SG,79,71,33.4,7.5,17.2,0.437,2.4,7,0.34,5.2,10.3,0.502,0.506,3,3.8,0.805,0.7,3.1,3.7,3.7,1.5,0.3,2.7,2.7,20.5,ROY-2,mitchdo01
0,MarShon Brooks,29,MEM,SG,7,1,27.6,7.3,14.6,0.5,2.7,4.6,0.594,4.6,10,0.457,0.593,2.9,3.3,0.87,1.1,1.9,3,3.6,1.6,0.4,2.3,0.9,20.1,,brookma01
