Rankings,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
5,Michael Jordan,32,CHI,SG,82,82,37.7,11.2,22.6,0.495,1.4,3.2,0.427,9.8,19.4,0.506,0.525,6.7,8,0.834,1.8,4.8,6.6,4.3,2.2,0.5,2.4,2.4,30.4,MVP-1DPOY-6ASNBA1,jordami01
2,Hakeem Olajuwon,33,HOU,C,72,72,38.8,10.7,20.8,0.514,0,0.2,0.214,10.6,20.6,0.517,0.515,5.5,7.6,0.724,2.4,8.4,10.9,3.6,1.6,2.9,3.4,3.4,26.9,MVP-4DPOY-5ASNBA2,olajuha01
0,Shaquille O'Neal,23,ORL,C,54,52,36,11,19.1,0.573,0,0,0.5,10.9,19.1,0.573,0.574,4.6,9.5,0.487,3.4,7.7,11,2.9,0.6,2.1,2.9,3.6,26.6,MVP-9ASNBA3,onealsh01
0,Karl Malone,32,UTA,PF,82,82,38,9.6,18.5,0.519,0.2,0.5,0.4,9.4,18,0.522,0.524,6.2,8.6,0.723,2.1,7.7,9.8,4.2,1.7,0.7,2.4,3,25.7,MVP-7ASNBA1,malonka01
4,David Robinson,30,SAS,C,82,82,36.8,8.7,16.8,0.516,0,0.1,0.333,8.6,16.7,0.517,0.517,7.6,10,0.761,3.9,8.3,12.2,3,1.4,3.3,2.3,3.2,25,MVP-2DPOY-4ASNBA1,robinda01
0,Chris Webber,22,WSB,PF,15,15,37.2,10,18.4,0.543,1,2.3,0.441,9,16.1,0.558,0.571,2.7,4.6,0.594,2.5,5.1,7.6,5,1.8,0.6,3.3,3.4,23.7,,webbech01
0,Jamal Mashburn,23,DAL,SF,18,18,37.2,8.1,21.3,0.379,1.9,5.7,0.343,6.1,15.6,0.391,0.424,5.4,7.4,0.729,2.1,3.3,5.4,2.8,0.8,0.2,3.1,2.2,23.4,,mashbja01
0,Charles Barkley,32,PHO,PF,71,71,37.1,8.2,16.3,0.5,0.7,2.5,0.28,7.5,13.9,0.539,0.521,6.2,8,0.777,3.4,8.1,11.6,3.7,1.6,0.8,3.1,2.9,23.2,MVP-12ASNBA3,barklch01
0,Alonzo Mourning,25,MIA,C,70,70,38.2,8,15.4,0.523,0.1,0.4,0.3,7.9,14.9,0.53,0.527,7,10.2,0.685,3.1,7.3,10.4,2.3,1,2.7,3.7,3.5,23.2,MVP-14AS,mournal01
0,Mitch Richmond,30,SAC,SG,81,81,36.4,7.5,16.9,0.447,2.8,6.4,0.437,4.8,10.5,0.453,0.529,5.2,6.1,0.866,0.7,2.7,3.3,3.1,1.5,0.2,2.7,2.9,23.1,MVP-16ASNBA3,richmmi01
0,Patrick Ewing,33,NYK,C,76,76,36.6,8.9,19.2,0.466,0.1,0.4,0.143,8.9,18.8,0.472,0.467,4.6,6.1,0.761,2.1,8.5,10.6,2.1,0.9,2.4,2.9,3.3,22.5,AS,ewingpa01
0,Juwan Howard,22,WSB,PF,81,81,40.7,9,18.5,0.489,0,0.2,0.308,9,18.4,0.49,0.49,3.9,5.3,0.749,2.3,5.8,8.1,4.4,0.8,0.5,3.7,3.3,22.1,ASNBA3,howarju01
3,Anfernee Hardaway,24,ORL,PG,82,82,36.8,7.6,14.8,0.513,1.1,3.5,0.314,6.5,11.4,0.573,0.549,5.4,7.1,0.767,1.6,2.7,4.3,7.1,2,0.5,2.8,2,21.7,MVP-3ASNBA1,hardaan01
0,Glen Rice,28,CHH,SF,79,79,39.8,7.7,16.4,0.471,2.2,5.1,0.424,5.6,11.3,0.492,0.537,4,4.8,0.837,1.1,3.7,4.8,2.9,1.2,0.2,2.1,2.7,21.6,AS,ricegl01
0,Cedric Ceballos,26,LAL,SF,78,71,33.7,8.2,15.4,0.53,0.7,2.4,0.277,7.5,13.1,0.576,0.552,4.2,5.2,0.804,2.8,4.1,6.9,1.5,1.2,0.3,2.1,1.8,21.2,,cebalce01
